driverId,constructorId,grid,year,points,winner
5,1,4,2008,1.0,0
6,3,13,2008,2.0,0
13,6,1,2008,6.0,0
9,2,5,2008,8.0,0
1,1,3,2008,10.0,1
1,1,1,2008,0.0,0
8,6,3,2008,0.0,0
12,4,15,2008,0.0,0
4,4,4,2008,0.0,0
6,3,12,2008,0.0,0
7,5,18,2008,0.0,0
3,3,5,2008,0.0,0
5,1,7,2008,0.0,0
13,6,6,2008,4.0,0
10,7,11,2008,5.0,0
14,9,13,2008,6.0,0
2,2,8,2008,8.0,0
9,2,2,2008,10.0,1
7,5,14,2008,0.0,0
3,3,19,2008,0.0,0
6,3,15,2008,0.0,0
2,2,11,2008,0.0,0
10,7,8,2008,0.0,0
1,1,13,2008,0.0,0
14,9,7,2008,0.0,0
4,4,3,2008,1.0,0
12,4,9,2008,2.0,0
9,2,5,2008,4.0,0
5,1,10,2008,5.0,0
8,6,1,2008,8.0,0
13,6,2,2008,10.0,1
14,9,11,2008,0.0,0
12,4,7,2008,0.0,0
9,2,10,2008,0.0,0
13,6,9,2008,0.0,0
10,7,12,2008,0.0,0
7,5,13,2008,0.0,0
3,3,20,2008,0.0,0
6,3,15,2008,1.0,0
4,4,6,2008,3.0,0
